,Gal,nsa_mstar,nsa_sersic_n,rat_vel_sigma,pa_w,pa_w_sigma,paph,paph_e,pakn,pakn_e,pamod,pamod_e,bar_pa,bar_pa_e,inc_w,inc_w_ep,inc_w_em,vc_flat,vc_flat_err,bar_dep,bar_dep_e,bar_med,bar_upp,bar_low,om_med,om_upp,om_low,cr_med,cr_upp,cr_low,R_med,R_upp,R_low
0,7977-9102,10.8223997468883,1.46325,0.549136158883369,112.99282188361096,0.9999000149975004,131.20447987699018,5.6417001513186325,123.0,0.3333333333333333,112.99,0.5,138.247385,2.540604999999985,49.14599656415823,52.38543386156443,45.73955302840682,311.8963688443048,1.487131429308236,2.265445908,0.5256967320000001,3.6621499386904217,4.413700044740322,3.0125867824974164,41.12420305457849,46.365642561171406,35.600411093551685,7.368644737688651,8.55389285605184,6.422397268707341,2.026643116818164,2.5686825485268168,1.5866488040048137
1,8078-12703,10.919987449256402,2.06216,0.324105262871703,4.505215611997894,0.94864234017957,5.080276186559374,1.3875086105742174,4.0,0.3333333333333333,8.55,0.66,67.968425,1.0914050000000017,38.505075325910965,41.70362969667302,35.06408569630114,294.3244595183483,2.492215222277779,8.201556,0.8611633799999998,5.9422051684081785,6.549355422344871,5.351358771204588,42.64896470938631,51.13348979396029,34.6185032106265,6.538654318847322,8.382825675415548,5.170211211755014,1.104251936875564,1.445850225402595,0.8506757855409443
2,8135-6103,11.037046945213802,3.69822,0.2876512428842199,34.894144208181,2.4097570242327397,79.97303863330151,0.1625031500198718,30.91412742382272,0.6648199445983387,34.89,2.41,8.308038,2.1766319999999997,37.42680390725306,37.92209155314957,36.925857300314895,239.80413628997428,4.3886540097180005,7.45595928,1.2339617399999998,8.278942882148192,9.517212858197803,7.185284614534977,20.221114145716413,24.36033064334729,15.116651097958982,11.002435257432102,13.981975537968957,9.017360101622067,1.3348471487191984,1.771962556961329,1.0417935358326154
3,8257-6103,11.2299322062125,1.76171,0.301748206141939,135.94794779571214,0.9252655293723232,115.87570959364989,6.8365700509424885,136.0,1.0,135.65,2.44,54.648605,4.393654999999999,25.784246350939693,28.427399735740533,22.86015504131336,426.1456329282705,5.9314449351027685,4.22883252,0.44402885999999997,6.276460940013199,6.89909693639378,5.680075779412439,32.10026183508296,39.08785727942757,26.194383782600315,11.889477487360216,14.080069526869725,9.781712093951167,1.893982116848636,2.3145674910704086,1.519969868103893
4,8444-12703,10.9349910439144,1.9056,0.438562817312711,4.860806302772202,0.5656712833439224,20.98686174683665,3.3134104182750184,3.0,0.5,6.72,0.39,31.74373,9.54883,37.23942533124385,38.42707889470285,36.01845739180641,237.73645500244825,1.2928444290060144,5.67799848,0.93970998,4.982252734424659,5.69917210439468,4.3175566869554265,40.911844553830136,44.90406658717731,37.0273395790745,4.498993289614142,5.324085842124152,3.7392748021054074,0.9024466395207476,1.114958057664311,0.7073968865858629
5,8454-12702,11.0217247550098,4.0183,0.438593368680471,65.99864528631132,1.6998300254957508,60.07015368561726,12.864545589792751,66.0,0.3333333333333333,58.38,0.92,93.132225,2.8364149999999952,45.44838817459225,48.14150580518538,42.62431629814915,250.8816456915763,2.4635458607964025,4.42245276,0.4643575200000001,8.320921751647736,9.158879436797283,7.525719761496979,26.083283580328917,28.21479974789998,24.294076909108163,9.881094770577556,10.618019230236984,8.869317404342453,1.1789160240818606,1.332156193597234,1.0213194897108988
6,8465-12705,10.901761208608198,4.22162,0.4429218080023789,49.29473270929848,0.7070891041799029,43.9489186787639,1.2939966753587622,50.0,0.3333333333333333,48.59,0.68,34.896955,4.547744999999999,53.53156505988545,58.28487134716403,48.46607463822406,290.5616370383865,2.094364652967446,5.62857768,0.5910002999999997,3.816712914237892,4.320001012551075,3.400088932983489,65.67790547564579,75.91118562086926,55.46002385647667,4.9091288740013725,5.236396261479592,4.598390142456399,1.2880407879516726,1.47779806662725,1.1097911766478852
7,8552-9101,11.0468825614014,4.93155,0.325431734404081,110.15946428674944,0.9307763233991772,108.20970769353264,9.6908780235809,112.0,1.3333333333333333,108.41,0.18,135.35865,1.680419999999998,32.69238056976487,33.9539177585463,31.385988835426662,203.8369518276968,1.6949000900517417,3.93415704,0.4130874,5.848585685084008,6.397727919696075,5.304416942043539,26.743498379122173,29.41710840696664,23.7380662055137,7.14228669828679,7.794019647384666,6.515620401077293,1.2232752641140796,1.3903083075735565,1.0718791691984335
8,8602-12701,11.2934188899346,5.96017,0.279756287348721,156.1912462752326,2.2441727117773134,156.18982691515728,2.244406267903275,151.0,0.3333333333333333,175.02,0.04,193.734085,0.719894999999994,39.80888707389828,41.596169743411295,37.95202510934956,256.6926034043708,7.286950762025745,12.29423976,0.6147127799999996,7.7870759335315585,8.169828809166784,7.402926695237807,24.67344906412408,31.478509005502666,16.633833363383072,9.438513220555896,13.692434215046935,6.880070118805108,1.213233936046903,1.7613335828018069,0.8797651598674373
9,8602-12705,11.1856908870647,6.0,0.187021220335191,143.5420262634116,1.4998500224962508,159.34668664284754,4.070258873924861,148.0,0.3333333333333333,143.54,1.5,185.4851815,0.6991655000000065,37.89470057671682,40.3864839286747,35.255056391236856,184.43864614819304,4.697764304137056,11.08421424,1.1638420200000006,8.418759237679838,9.248848909801849,7.641220981582457,15.917000096798125,18.97537948694304,13.091919616364963,11.442956393751311,13.900674968542669,9.514232483629344,1.3601175078515482,1.693612721005601,1.1014696923033735
